epoch: 0/2=0.00%, steps: 176, loss: 1.214
epoch: 0/2=0.00%, steps: 177, loss: 1.557
epoch: 0/2=0.00%, steps: 178, loss: 1.117
epoch: 0/2=0.00%, steps: 179, loss: 1.535
epoch: 0/2=0.00%, steps: 180, loss: 1.026
epoch: 0/2=0.00%, steps: 181, loss: 1.31
epoch: 0/2=0.00%, steps: 182, loss: 1.804
epoch: 0/2=0.00%, steps: 183, loss: 1.145
epoch: 0/2=0.00%, steps: 184, loss: 1.092
epoch: 0/2=0.00%, steps: 185, loss: 1.244
epoch: 0/2=0.00%, steps: 186, loss: 1.176
epoch: 0/2=0.00%, steps: 187, loss: 1.204
epoch: 0/2=0.00%, steps: 188, loss: 1.655
epoch: 0/2=0.00%, steps: 189, loss: 1.163
epoch: 0/2=0.00%, steps: 190, loss: 1.36
epoch: 0/2=0.00%, steps: 191, loss: 1.671
epoch: 0/2=0.00%, steps: 192, loss: 1.085
epoch: 0/2=0.00%, steps: 193, loss: 1.135
epoch: 0/2=0.00%, steps: 194, loss: 1.231
epoch: 0/2=0.00%, steps: 195, loss: 1.452
epoch: 0/2=0.00%, steps: 196, loss: 1.122
epoch: 0/2=0.00%, steps: 197, loss: 1.194
epoch: 0/2=0.00%, steps: 198, loss: 1.291
epoch: 0/2=0.00%, steps: 199, loss: 1.112
epoch: 0/2=0.00%, steps: 200, loss: 1.246
epoch: 0/2=0.00%, steps: 201, loss: 1.112
epoch: 0/2=0.00%, steps: 202, loss: 1.262
epoch: 0/2=0.00%, steps: 203, loss: 1.472
epoch: 0/2=0.00%, steps: 204, loss: 1.024
epoch: 0/2=0.00%, steps: 205, loss: 1.227
epoch: 0/2=0.00%, steps: 206, loss: 1.135
epoch: 0/2=0.00%, steps: 207, loss: 1.238
epoch: 0/2=0.00%, steps: 208, loss: 1.304
epoch: 0/2=0.00%, steps: 209, loss: 1.198
epoch: 0/2=0.00%, steps: 210, loss: 1.127
epoch: 0/2=0.00%, steps: 211, loss: 1.387
epoch: 0/2=0.00%, steps: 212, loss: 1.166
epoch: 0/2=0.00%, steps: 213, loss: 1.246
epoch: 0/2=0.00%, steps: 214, loss: 1.425
epoch: 0/2=0.00%, steps: 215, loss: 1.173
epoch: 0/2=0.00%, steps: 216, loss: 1.156
epoch: 0/2=0.00%, steps: 217, loss: 1.233
epoch: 0/2=0.00%, steps: 218, loss: 1.289
epoch: 0/2=0.00%, steps: 219, loss: 1.31
epoch: 0/2=0.00%, steps: 220, loss: 1.262
epoch: 0/2=0.00%, steps: 221, loss: 1.23
epoch: 0/2=0.00%, steps: 222, loss: 1.386
epoch: 0/2=0.00%, steps: 223, loss: 1.314
epoch: 0/2=0.00%, steps: 224, loss: 0.959
epoch: 0/2=0.00%, steps: 225, loss: 0.9725
epoch: 0/2=0.00%, steps: 226, loss: 1.216
epoch: 0/2=0.00%, steps: 227, loss: 1.272
epoch: 0/2=0.00%, steps: 228, loss: 1.12
epoch: 0/2=0.00%, steps: 229, loss: 1.568
epoch: 0/2=0.00%, steps: 230, loss: 1.386
epoch: 0/2=0.00%, steps: 231, loss: 1.355
epoch: 0/2=0.00%, steps: 232, loss: 1.271
epoch: 0/2=0.00%, steps: 233, loss: 1.318
epoch: 0/2=0.00%, steps: 234, loss: 1.054
epoch: 0/2=0.00%, steps: 235, loss: 1.277
epoch: 0/2=0.00%, steps: 236, loss: 1.174
epoch: 0/2=0.00%, steps: 237, loss: 1.341
epoch: 0/2=0.00%, steps: 238, loss: 1.233
epoch: 0/2=0.00%, steps: 239, loss: 1.155
epoch: 0/2=0.00%, steps: 240, loss: 1.505
epoch: 0/2=0.00%, steps: 241, loss: 1.572
epoch: 0/2=0.00%, steps: 242, loss: 1.38
epoch: 0/2=0.00%, steps: 243, loss: 1.375
epoch: 0/2=0.00%, steps: 244, loss: 1.224
epoch: 0/2=0.00%, steps: 245, loss: 1.364
epoch: 0/2=0.00%, steps: 246, loss: 1.212
epoch: 0/2=0.00%, steps: 247, loss: 1.276
epoch: 0/2=0.00%, steps: 248, loss: 1.274
epoch: 0/2=0.00%, steps: 249, loss: 1.274
epoch: 0/2=0.00%, steps: 250, loss: 1.404
epoch: 0/2=0.00%, steps: 251, loss: 1.438
epoch: 0/2=0.00%, steps: 252, loss: 1.584
epoch: 0/2=0.00%, steps: 253, loss: 1.304
epoch: 0/2=0.00%, steps: 254, loss: 1.418
epoch: 0/2=0.00%, steps: 255, loss: 1.312
epoch: 0/2=0.00%, steps: 256, loss: 1.122
epoch: 0/2=0.00%, steps: 257, loss: 1.47
epoch: 0/2=0.00%, steps: 258, loss: 1.012
epoch: 0/2=0.00%, steps: 259, loss: 1.537
epoch: 0/2=0.00%, steps: 260, loss: 1.219
epoch: 0/2=0.00%, steps: 261, loss: 1.49
epoch: 0/2=0.00%, steps: 262, loss: 1.318
epoch: 0/2=0.00%, steps: 263, loss: 1.121
epoch: 0/2=0.00%, steps: 264, loss: 1.38
epoch: 0/2=0.00%, steps: 265, loss: 1.225
epoch: 0/2=0.00%, steps: 266, loss: 1.245
epoch: 0/2=0.00%, steps: 267, loss: 1.051
epoch: 0/2=0.00%, steps: 268, loss: 1.306
epoch: 0/2=0.00%, steps: 269, loss: 1.086
epoch: 0/2=0.00%, steps: 270, loss: 0.9636
epoch: 0/2=0.00%, steps: 271, loss: 1.34
epoch: 0/2=0.00%, steps: 272, loss: 1.146
epoch: 0/2=0.00%, steps: 273, loss: 1.214
epoch: 0/2=0.00%, steps: 274, loss: 1.364
epoch: 0/2=0.00%, steps: 275, loss: 1.279
epoch: 0/2=0.00%, steps: 276, loss: 1.117
epoch: 0/2=0.00%, steps: 277, loss: 1.236
epoch: 0/2=0.00%, steps: 278, loss: 1.538
epoch: 0/2=0.00%, steps: 279, loss: 0.8872
epoch: 0/2=0.00%, steps: 280, loss: 1.12
epoch: 0/2=0.00%, steps: 281, loss: 1.214
epoch: 0/2=0.00%, steps: 282, loss: 0.9282
epoch: 0/2=0.00%, steps: 283, loss: 1.648
epoch: 0/2=0.00%, steps: 284, loss: 1.219
epoch: 0/2=0.00%, steps: 285, loss: 1.124
epoch: 0/2=0.00%, steps: 286, loss: 1.166
epoch: 0/2=0.00%, steps: 287, loss: 1.328
epoch: 0/2=0.00%, steps: 288, loss: 1.038
epoch: 0/2=0.00%, steps: 289, loss: 0.9756
epoch: 0/2=0.00%, steps: 290, loss: 1.19
epoch: 0/2=0.00%, steps: 291, loss: 1.183
epoch: 0/2=0.00%, steps: 292, loss: 0.8586
epoch: 0/2=0.00%, steps: 293, loss: 1.451
epoch: 0/2=0.00%, steps: 294, loss: 1.37
epoch: 0/2=0.00%, steps: 295, loss: 1.078
epoch: 0/2=0.00%, steps: 296, loss: 1.351
epoch: 0/2=0.00%, steps: 297, loss: 1.185
epoch: 0/2=0.00%, steps: 298, loss: 1.087
epoch: 0/2=0.00%, steps: 299, loss: 1.75
epoch: 0/2=0.00%, steps: 300, loss: 1.264
epoch: 0/2=0.00%, steps: 301, loss: 1.578
epoch: 0/2=0.00%, steps: 302, loss: 1.047
epoch: 0/2=0.00%, steps: 303, loss: 1.52
epoch: 0/2=0.00%, steps: 304, loss: 1.282
epoch: 0/2=0.00%, steps: 305, loss: 1.253
epoch: 0/2=0.00%, steps: 306, loss: 1.049
epoch: 0/2=0.00%, steps: 307, loss: 1.156
epoch: 0/2=0.00%, steps: 308, loss: 1.278
epoch: 0/2=0.00%, steps: 309, loss: 1.017
epoch: 0/2=0.00%, steps: 310, loss: 1.168
epoch: 0/2=0.00%, steps: 311, loss: 1.096
epoch: 0/2=0.00%, steps: 312, loss: 1.263
epoch: 0/2=0.00%, steps: 313, loss: 1.204
epoch: 0/2=0.00%, steps: 314, loss: 1.435
epoch: 0/2=0.00%, steps: 315, loss: 1.336
epoch: 0/2=0.00%, steps: 316, loss: 1.173
epoch: 0/2=0.00%, steps: 317, loss: 1.243
epoch: 0/2=0.00%, steps: 318, loss: 1.426
epoch: 0/2=0.00%, steps: 319, loss: 1.243
epoch: 0/2=0.00%, steps: 320, loss: 0.9436
epoch: 0/2=0.00%, steps: 321, loss: 1.183
epoch: 0/2=0.00%, steps: 322, loss: 1.133
epoch: 0/2=0.00%, steps: 323, loss: 1.082
epoch: 0/2=0.00%, steps: 324, loss: 1.403
